score,Borough,Largest Property Use Type,DOF Gross Floor Area,Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Water Intensity (All Water Sources) (gal/ft²),log_Direct GHG Emissions (Metric Tons CO2e),log_Water Intensity (All Water Sources) (gal/ft²)
86,Queens,Multifamily Housing,65000,1939,1,100,63.8,2.5,0.6,24.2,5.427589702,3.186352633
74,Queens,Multifamily Housing,65000,1939,1,100,70.3,2.9,0.6,27.14,5.512621969,3.301008654
74,Queens,Multifamily Housing,1076000,1955,1,95,90.4,3.9,0.8,,8.303405735,
74,Queens,Multifamily Housing,65000,1939,1,100,69,3.1,0.6,,5.481888143,
78,Queens,Multifamily Housing,65000,1939,1,100,68.1,2.8,0.6,26.15,5.483135804,3.263849191
78,Queens,Multifamily Housing,65000,1939,1,100,67.9,2.8,0.6,23.09,5.481055503,3.139399623
92,Queens,Multifamily Housing,117480,1950,1,100,58.5,2.4,0.5,,5.90699539,
10,Manhattan,Multifamily Housing,50673,1912,1,100,77.2,7.6,0.5,17.94,4.906755164,2.887032857
47,Queens,Multifamily Housing,145341,1954,1,100,93.9,4.1,0.8,,6.391246872,
5,Brooklyn,Multifamily Housing,103921,2007,1,100,117.4,10.9,0.8,51.82,5.671603576,3.947776175
84,Brooklyn,Multifamily Housing,79364,2002,1,100,33.7,6.7,0.1,34.06,3.484312288,3.528123675
32,Brooklyn,Multifamily Housing,441063,1929,1,100,67.9,6,0.5,31.02,7.034211703,3.434632158
97,Manhattan,Multifamily Housing,157300,1924,1,100,49,2.6,0.4,24.95,5.868166331,3.216873822
35,Manhattan,Multifamily Housing,97857,1916,1,100,79,3.8,0.2,35.31,6.175035323,3.56416621
44,Manhattan,Multifamily Housing,173686,1911,2,100,79.9,4.2,0.7,,6.340535655,
73,Manhattan,Multifamily Housing,390628,1960,1,100,82.6,5.4,0.7,47.91,6.985641818,3.869324251
26,Manhattan,Multifamily Housing,60218,2010,1,95,102.5,10.6,0.7,,5.345200952,
21,Manhattan,Multifamily Housing,101857,1999,1,95,164.9,16.1,1.1,,6.372636963,
74,Manhattan,Multifamily Housing,210000,1951,1,100,61.7,4.5,0,34.46,6.621006105,3.539799231
22,Manhattan,Multifamily Housing,255420,1912,1,100,97.5,5.8,0.8,47.21,7.042985228,3.854605735
85,Manhattan,Multifamily Housing,131549,1934,1,100,51.2,3.6,0.2,2.01,5.814130532,0.698134722
57,Manhattan,Multifamily Housing,128635,1911,1,100,73.9,4.9,0.6,26.37,6.037393479,3.272227
50,Manhattan,Multifamily Housing,138875,1973,1,100,83.5,5.4,0,26.3,6.481883361,3.269568939
7,Manhattan,Multifamily Housing,221307,1999,1,100,98.5,10.7,0.6,74.55,6.416241966,4.311470041
13,Manhattan,Multifamily Housing,188767,1987,1,100,91.5,7.2,0,47,6.822197391,3.850147602
22,Manhattan,Multifamily Housing,205261,1979,1,95,95.8,8.4,0.7,,6.578139483,
62,Manhattan,Multifamily Housing,194949,1961,1,100,67,6.8,0.4,37.55,6.132747072,3.625673378
86,Bronx,Multifamily Housing,68430,1923,1,95,90.2,5.8,0.8,,5.605434352,
43,Queens,Multifamily Housing,77520,1960,1,100,82.1,5.4,0.7,49.03,5.7166987,3.892432356
69,Manhattan,Multifamily Housing,119000,1959,1,100,80.6,5.7,0,,2.701361213,
20,Manhattan,Multifamily Housing,143590,1962,2,100,89.1,5.5,0.7,43.29,6.353674147,3.767921661
49,Manhattan,Hotel,84577,2012,1,100,126.7,21.6,0.6,90.62,5.455748374,4.506674939
36,Manhattan,Multifamily Housing,230164,1959,1,100,91.8,5.7,0,,6.892844666,
51,Manhattan,Multifamily Housing,66745,1913,1,100,82.4,5,0,31.32,5.861925176,3.444256871
2,Manhattan,Multifamily Housing,57302,1911,1,100,112.7,9.7,0,,1.029619417,
83,Manhattan,Multifamily Housing,72792,1951,1,100,60,4.4,0.5,17.97,5.212214667,2.888703701
82,Bronx,Multifamily Housing,96056,1924,1,95,77.9,4.2,0.7,69.71,5.802722423,4.244343779
48,Manhattan,Multifamily Housing,319696,1955,1,100,75.6,5.4,0,26.38,7.21465157,3.272606147
94,Manhattan,Multifamily Housing,105000,1928,1,100,41.1,3.7,0,,1.704748092,
1,Manhattan,Multifamily Housing,93096,1930,1,100,99.9,10.5,0.1,,4.275276265,
83,Manhattan,Multifamily Housing,93015,1931,1,100,68.9,3.6,0.6,,5.696086268,
10,Manhattan,Multifamily Housing,90405,1978,1,100,123.2,10.3,0.3,62.19,6.078788375,4.130194215
40,Manhattan,Multifamily Housing,260540,1979,1,100,96.1,6.9,0.1,39.68,7.156800468,3.680847282
82,Manhattan,Multifamily Housing,57000,1923,1,100,56,4,0.4,30.14,4.976733742,3.405853193
86,Manhattan,Multifamily Housing,156303,1928,1,100,64,3.9,0,,6.412803004,
49,Manhattan,Multifamily Housing,88396,1927,1,100,79.5,3.5,0,,6.153795959,
43,Manhattan,Multifamily Housing,153384,1986,1,100,82.4,6.4,0,45.17,6.589888875,3.81043315
35,Bronx,Multifamily Housing,1230965,1950,1,95,105.5,4.6,1,24.99,8.672965413,3.218475745
82,Manhattan,Multifamily Housing,64865,1922,1,100,66.9,3.4,0,48.05,5.626181229,3.872242135
15,Queens,Multifamily Housing,133542,1973,1,100,122.9,5.7,1.1,,6.641051613,
19,Brooklyn,Multifamily Housing,60720,1930,1,100,130.2,3.4,1.3,,5.991214516,
45,Manhattan,Multifamily Housing,166319,1923,1,100,80.9,4.9,0,54.24,6.646650221,3.993418644
74,Manhattan,Multifamily Housing,64429,1931,1,100,91.4,4,0,31.49,5.922114469,3.449670035
43,Manhattan,Multifamily Housing,61605,1912,1,100,83.4,3.7,0,54.51,5.891367931,3.998384171
96,Manhattan,Multifamily Housing,108666,1929,1,100,55.5,3.2,0.2,25.89,5.797879798,3.253856794
89,Manhattan,Multifamily Housing,98081,1970,1,100,62.2,3.7,0.3,31.14,5.781977322,3.438493166
98,Manhattan,Office,96000,1900,1,100,79.2,0.7,0,,6.295634937,
33,Manhattan,Multifamily Housing,64421,1907,1,100,81.9,3.5,0.2,20.58,5.831002325,3.02431973
63,Manhattan,Multifamily Housing,71880,1912,1,100,64.4,3.7,0.3,,5.588745665,
81,Manhattan,Multifamily Housing,79050,1948,1,100,68.4,4.5,0,32.25,5.804230946,3.473518043
51,Manhattan,Multifamily Housing,51860,1905,1,100,109.5,7.4,0.9,59.01,5.437209365,4.077706921
6,Manhattan,Multifamily Housing,119000,1927,1,100,87.2,11.1,0.5,37.33,5.538514672,3.619797293
62,Manhattan,Multifamily Housing,141885,1928,1,100,93,5.8,0,50.57,6.273065668,3.923358515
35,Manhattan,Multifamily Housing,217198,1983,1,100,82.1,10.1,0.5,33.58,6.357322201,3.513930652
27,Manhattan,Multifamily Housing,122273,1907,1,100,66.5,5.1,0,17.59,6.182911012,2.867330559
5,Manhattan,Multifamily Housing,100421,1972,1,100,140.9,7.9,1.2,79.01,6.403905269,4.369574427
53,Manhattan,Multifamily Housing,331448,1975,1,100,75.3,7.1,0.5,,6.786829811,
98,Manhattan,Multifamily Housing,180441,1940,2,100,38.6,3.2,0.3,30.5,5.682899264,3.417726684
7,Manhattan,Multifamily Housing,266115,1982,1,100,115.9,7.6,1,,7.022422354,
59,Queens,Multifamily Housing,89776,1962,1,100,80.2,3.3,0.7,65.11,5.802118375,4.176078147
1,Manhattan,Multifamily Housing,56935,2004,1,100,116.1,15.4,0.7,44.77,5.179533831,3.801538272
47,Manhattan,Multifamily Housing,588527,1957,2,100,82.3,5.6,0.6,40.72,7.611891854,3.706719372
100,Brooklyn,Non-Refrigerated Warehouse,280000,1942,1,100,4.7,1.1,0,,2.687847494,
13,Manhattan,Multifamily Housing,165594,1960,1,100,89.8,10.5,0,,2.867898902,
48,Queens,Multifamily Housing,65781,1962,1,100,92.3,3.3,0.1,,5.966659428,
8,Manhattan,Multifamily Housing,151686,1988,1,100,118.7,12.4,0.8,49.22,5.395444077,3.896300045
73,Manhattan,Multifamily Housing,120300,1917,2,100,82.3,4.1,0.7,40.38,6.137727054,3.698334613
72,Manhattan,Multifamily Housing,72501,1930,1,100,86.3,4.2,0,63.43,6.049733455,4.149936936
29,Manhattan,Multifamily Housing,218364,1932,1,100,93.7,6.5,0.1,,4.643428898,
23,Manhattan,Multifamily Housing,406656,1985,1,100,97.9,8.2,0.7,42.38,7.243870309,3.746676553
7,Manhattan,Multifamily Housing,76230,1906,1,100,77.7,12.5,0.4,29.47,4.67562865,3.383372797
76,Manhattan,Multifamily Housing,403741,1962,2,100,68.5,5,0.5,36.82,7.103486523,3.606041176
93,Manhattan,Multifamily Housing,53439,1922,1,100,30.9,5.9,0.1,45.97,3.384390263,3.82798901
9,Manhattan,Multifamily Housing,74195,2010,1,100,83.1,16.6,0.3,34.13,4.600157644,3.530176763
1,Manhattan,Multifamily Housing,128132,1963,1,100,142.2,8.5,0,56.74,6.973730268,4.038479429
100,Brooklyn,Multifamily Housing,166044,1954,1,100,12.3,3.5,0,,1.131402111,
31,Manhattan,Multifamily Housing,74064,1915,1,100,95.7,4,0.1,90.84,6.084727178,4.509099717
83,Brooklyn,Supermarket/Grocery Store,129000,2001,1,100,151.7,34.8,0.3,12.74,5.370172804,2.54474665
37,Brooklyn,Multifamily Housing,58976,2009,1,100,77.9,8.4,0.5,29.96,5.011967739,3.399863159
100,Queens,Multifamily Housing,78030,1960,1,100,69.5,0.9,0.7,30.67,5.618587629,3.423284978
19,Manhattan,Multifamily Housing,97563,1914,1,100,60.9,9.7,0.3,34.89,4.957234517,3.552200255
9,Manhattan,Multifamily Housing,97500,1912,1,100,72,11.8,0.3,,5.080161357,
79,Manhattan,Multifamily Housing,95992,1925,1,100,60.7,4.9,0,,5.744924418,
100,Queens,Multifamily Housing,104463,1949,1,100,24.3,0.1,0.3,,4.889596966,
28,Manhattan,Multifamily Housing,162530,1972,1,95,75.1,11.5,0.4,62.46,5.80663986,4.134526352
55,Manhattan,Multifamily Housing,57512,1900,1,95,87.5,5.4,0.7,70.12,5.342812606,4.25020806
59,Manhattan,Multifamily Housing,59400,1900,1,95,79.8,5.6,0.6,90.1,5.243333058,4.500920165
83,Bronx,Multifamily Housing,59800,1930,1,100,102,4.6,0.9,131.58,5.747161198,4.879615032
39,Brooklyn,Multifamily Housing,104514,2011,1,95,54.1,10.7,0.2,34.91,4.570578741,3.552773321
83,Bronx,Multifamily Housing,60480,1940,1,100,95,5,0.8,99.7,5.694068782,4.602165677
60,Brooklyn,Multifamily Housing,119598,2013,1,95,48.7,8.5,0.2,29.84,4.813809051,3.395849775
77,Queens,Multifamily Housing,137771,2012,1,95,74.8,4,0.7,27.01,6.09356977,3.296207168
6,Manhattan,Multifamily Housing,113244,1935,1,95,110.6,10.8,0.2,,6.324000475,
100,Bronx,K-12 School,251049,1941,1,100,32.9,1.9,0.3,,6.501890091,
52,Bronx,Multifamily Housing,65240,1925,1,95,79.9,4.5,0.7,70.09,5.426270731,4.249780131
75,Manhattan,Multifamily Housing,55800,1930,1,100,72.8,6.8,0.5,,5.145748768,
1,Bronx,Multifamily Housing,72000,1930,1,100,148.5,8.3,1.3,8567.27,6.124683391,9.055704408
78,Manhattan,Office,183168,1896,1,95,83.3,13.7,0.2,,5.66711849,
72,Manhattan,Office,105667,1896,1,95,130.6,6.8,0.2,35.6,6.691587341,3.572345638
98,Manhattan,Office,55000,1927,1,95,76.8,6.8,,15.34,5.392718042,2.730463796
96,Manhattan,Multifamily Housing,124351,1926,1,100,44,3.2,,29.13,5.736572297,3.371768571
77,Manhattan,Multifamily Housing,123898,1926,1,100,67.5,5.4,0.5,31.4,5.769258057,3.446807893
79,Queens,Multifamily Housing,141954,1962,1,100,77.7,4.1,0.7,54.16,6.172326706,3.991942629
88,Manhattan,Multifamily Housing,93291,1929,1,100,58.9,4.3,,37.38,5.727499001,3.621135802
100,Manhattan,Multifamily Housing,133485,1949,1,95,13.4,,,3211.56,,8.074512079
56,Manhattan,Multifamily Housing,51716,2005,1,100,71.5,6.7,0.5,40.05,4.872139217,3.690128674
17,Manhattan,Residence Hall/Dormitory,60930,1910,1,100,102.7,12.4,0.7,46.97,5.245443877,3.8495091
13,Manhattan,Multifamily Housing,73216,2013,1,100,79.6,13.3,0.3,,4.891851758,
81,Brooklyn,K-12 School,58420,1969,1,100,43.5,4.4,0.3,16.1,4.479606963,2.778819272
100,Manhattan,Office,304345,1913,1,90,15.5,4.5,,11.23,,2.418588769
86,Brooklyn,Multifamily Housing,84530,1925,1,100,72.5,3.6,0.7,31.62,5.672979566,3.453789832
55,Bronx,Multifamily Housing,127000,1961,3,100,78.8,4.6,0.6,49.71,6.086547428,3.90620612
1,Bronx,Multifamily Housing,93570,2008,1,100,151.2,11.6,1.1,60.7,6.31300442,4.105943698
1,Bronx,Multifamily Housing,93570,2008,1,100,151.7,11.8,1.1,71.66,6.31300442,4.271932712
98,Manhattan,Office,106596,1896,1,95,45.2,6,0,,5.244389025,
52,Queens,Multifamily Housing,174699,2010,33,100,39,12.2,,,,
54,Queens,Multifamily Housing,174699,2010,1,100,39.2,12.2,,,,
90,Queens,Multifamily Housing,174699,2010,10,100,39.3,12.3,,55.71,,4.020159664
94,Manhattan,Multifamily Housing,117216,1918,1,100,34.9,5.7,0.1,,4.717605615,
89,Manhattan,Hotel,1050872,1925,1,95,60.8,8.6,0,52.02,3.411147713,3.95162826
89,Manhattan,Multifamily Housing,135315,1963,1,100,59.2,4.8,,,,
88,Manhattan,Multifamily Housing,121313,1910,1,100,55.6,4,0.4,,5.600272098,
79,Manhattan,Multifamily Housing,117882,1930,1,100,61.8,4.4,0,32.64,6.140315494,3.48553853
34,Manhattan,Multifamily Housing,530000,1989,1,100,68.5,7.2,0,,4.077537444,
65,Manhattan,Multifamily Housing,207546,1962,1,100,68.7,5.1,0.5,42.12,6.38553161,3.740522687
11,Manhattan,Multifamily Housing,139000,1962,1,100,95.5,11.2,0.6,44.1,6.118097198,3.786459782
1,Manhattan,Multifamily Housing,76904,1956,1,100,79.6,17.2,0.2,,4.365643155,
8,Manhattan,Multifamily Housing,79470,1900,1,100,80,11.6,0.4,48.89,5.136386499,3.889572877
74,Manhattan,Multifamily Housing,118467,1955,1,100,61.9,5.8,0,,2.610069793,
2,Manhattan,Multifamily Housing,403019,2005,1,100,84.8,13.4,0.4,,6.726832743,
55,Manhattan,Multifamily Housing,212000,1959,1,100,84.8,5.5,0.7,,6.611503256,
54,Manhattan,Multifamily Housing,253741,1963,1,100,61.2,6.9,0,36.54,3.478158423,3.598407551
12,Manhattan,Multifamily Housing,160311,1963,1,100,105.5,5.3,0,,3.039749159,
45,Manhattan,Multifamily Housing,91282,1967,1,100,37.3,11.5,,27.83,,3.326114576
6,Brooklyn,Multifamily Housing,180012,1916,1,100,74.6,10.4,0.4,78.6,6.001909805,4.364371699
69,Queens,Multifamily Housing,277525,1954,3,100,65,4.8,0.5,38,6.723952626,3.63758616
40,Queens,Multifamily Housing,185016,1954,2,100,79.6,5.4,0.7,,6.54534966,
46,Queens,Multifamily Housing,185016,1953,2,100,79.2,5,0.7,36.74,6.562020275,3.60386608
10,Manhattan,Multifamily Housing,617569,1931,1,100,74.6,6.2,0.5,26.62,7.524669154,3.281662813
2,Manhattan,Multifamily Housing,389568,2004,1,100,112,10.7,0.8,43.91,7.074455455,3.782142085
56,Manhattan,Multifamily Housing,490768,1963,1,100,69.4,6.3,0,,4.191168747,
41,Manhattan,Multifamily Housing,648579,1964,1,100,64.8,7.1,0,,4.523960131,
51,Manhattan,Multifamily Housing,118350,1939,10,100,40.3,12.5,,,,
49,Manhattan,Multifamily Housing,215890,1960,18,100,40.8,12.7,,,,
8,Queens,Multifamily Housing,524895,1965,1,100,128.3,5.4,1.1,,8.03053972,
1,Manhattan,K-12 School,117357,1927,1,100,130.9,29.6,0,14.99,5.590613777,2.707383312
33,Bronx,Multifamily Housing,352360,1961,1,100,92,5.9,0,64.73,7.513545568,4.170224773
49,Manhattan,Multifamily Housing,205030,1920,1,100,115.7,3.2,0.2,,7.321056273,
11,Manhattan,Multifamily Housing,166215,1924,1,100,77.9,14.9,0.3,,5.218732887,
77,Bronx,Multifamily Housing,110544,2007,1,95,66.1,5.1,0.5,50.99,5.63906616,3.931629535
70,Manhattan,Hotel,125274,1927,1,100,63,15.6,0.1,,4.427238977,
16,Manhattan,Multifamily Housing,119876,2010,1,100,50.3,12.4,0.1,,3.945457782,
91,Staten Island,Multifamily Housing,112392,1987,2,100,37.6,,,,4.272490748,
68,Bronx,Multifamily Housing,87000,2011,1,100,61.3,9.9,0.3,64.97,4.747537427,4.173925625
98,Bronx,Multifamily Housing,50400,1925,1,100,68,3.7,0.5,75.57,5.372496765,4.325059379
99,Bronx,Multifamily Housing,104500,1930,1,100,62.9,3.5,0.5,61.73,5.656690867,4.122770036
46,Bronx,Medical Office,108501,1991,1,100,121.9,22.9,0.5,9.03,5.544786743,2.200552367
88,Bronx,Multifamily Housing,53600,1923,1,100,80.3,5.2,0.7,,5.420977379,
80,Manhattan,Multifamily Housing,62169,2011,1,100,67.4,,0.5,71.94,5.063227744,4.275832438
67,Queens,Multifamily Housing,50910,1931,1,100,87.9,3.6,0.8,54.31,5.327390614,3.994708372
81,Manhattan,Office,51350,1911,1,100,67.4,12,,7.28,5.853351245,1.985130862
65,Brooklyn,Multifamily Housing,56997,2005,1,100,59.7,6.2,0.4,,4.744932128,
1,Queens,Multifamily Housing,55500,1931,1,95,174.9,4.2,0.9,108.89,6.325075551,4.690338198
20,Queens,Multifamily Housing,128961,1961,1,95,138.6,5.2,0.9,184.32,6.826545224,5.216673378
63,Queens,Multifamily Housing,58089,1962,1,95,96.7,5.4,0.8,110.35,5.479805243,4.703657133
70,Queens,Multifamily Housing,62676,1961,1,95,89.4,3.7,0.8,99.66,5.53772789,4.601764393
53,Queens,Multifamily Housing,83394,1954,1,95,88.6,5.5,0.6,107.7,5.798789578,4.679349584
27,Queens,Multifamily Housing,62652,1962,1,95,104.7,6.3,0.7,99.2,5.689345427,4.597138014
55,Queens,Multifamily Housing,88900,1957,1,95,92.3,4.8,0.7,104.32,5.93806377,4.647463098
79,Queens,Multifamily Housing,70513,1928,1,95,67.2,4.2,0.5,52.46,5.353278925,3.960050974
91,Queens,Multifamily Housing,104377,1962,1,95,55.8,4.2,0.4,57.3,5.43153621,4.048300624
50,Queens,Multifamily Housing,63936,1962,1,95,86.3,6.1,0.5,94.98,5.478135793,4.553666343
30,Queens,Multifamily Housing,59470,1937,1,95,104.7,3.9,0.8,83.64,5.739792912,4.426521875
69,Queens,Multifamily Housing,93480,1942,1,95,75.2,4.2,0.6,69.75,5.711750644,4.244917421
73,Queens,Multifamily Housing,110538,1941,1,95,76.5,3.9,0.7,79.67,5.913773239,4.377893103
19,Queens,Multifamily Housing,51282,1941,1,95,120.7,3.8,1.1,90.54,5.681877639,4.505791742
9,Queens,Multifamily Housing,123914,1964,1,95,90.7,11.7,0.4,71.43,5.883322388,4.268717949
61,Queens,Multifamily Housing,99344,1965,1,95,87.1,5.7,0.6,103.74,5.933570569,4.641887769
55,Queens,Multifamily Housing,98748,1937,1,95,85,4.2,0.7,62.74,5.90481674,4.138999203
97,Queens,Multifamily Housing,74361,1949,1,95,62.2,2.6,0.4,67.11,5.448890225,4.206333064
45,Queens,Multifamily Housing,71826,1958,1,95,98.1,5.4,0.7,84.33,5.770506107,4.434737674
69,Brooklyn,Multifamily Housing,92538,1939,1,100,75.8,3.5,0.7,35.72,5.815919975,3.575710756
14,Manhattan,Multifamily Housing,144242,2008,1,100,61,12.6,0.2,61.23,4.990432587,4.114637265
85,Brooklyn,Multifamily Housing,152920,1956,1,100,60.1,3.1,0.5,,6.036198878,
92,Brooklyn,Multifamily Housing,57824,1928,1,100,70,2.6,0.7,27.8,5.279134547,3.325036021
98,Brooklyn,Multifamily Housing,70645,1928,1,100,81.4,3.3,0.8,31.12,5.617134668,3.437850699
16,Brooklyn,Multifamily Housing,93500,1926,1,100,109.3,5.3,0.9,41.63,6.214007918,3.728821061
86,Brooklyn,Multifamily Housing,51110,1906,1,100,75,4.1,0.7,95.46,5.154446996,4.558707312
75,Brooklyn,Multifamily Housing,59640,1927,1,100,64.3,3.9,0.5,,5.081404365,
73,Queens,Multifamily Housing,100752,1984,1,100,72.8,4.5,0.6,,5.725217755,
17,Queens,Multifamily Housing,82000,2001,1,100,87.8,8,0.6,66.69,5.571773732,4.200055017
47,Brooklyn,Multifamily Housing,53550,1929,1,100,93.6,3.7,0.9,80.96,5.437644432,4.393955206
46,Brooklyn,Multifamily Housing,290715,1976,1,100,55.4,7.9,0.3,,6.083359812,
26,Brooklyn,Multifamily Housing,64437,2005,1,100,96.2,6.2,0.8,41.55,5.541655625,3.726897521
42,Brooklyn,Multifamily Housing,76735,1993,1,100,82.3,7.7,0.6,51.37,5.430660554,3.939054344
45,Brooklyn,Multifamily Housing,54516,1910,1,100,110.9,5.4,1,79.54,5.585749408,4.37626004
23,Bronx,Multifamily Housing,77000,1928,1,100,86.3,5.1,0.7,99.81,5.631570141,4.603268379
28,Bronx,Multifamily Housing,65765,1924,1,100,93.9,4.9,0.8,,5.587997442,
12,Bronx,Multifamily Housing,63420,2010,1,100,107.1,5.8,0.9,,5.68085497,
4,Manhattan,Multifamily Housing,79932,1910,1,100,139.9,7.6,1.2,117.33,6.178566327,4.764990477
82,Manhattan,Multifamily Housing,54779,1989,1,100,75.3,6.3,0.6,61.79,5.050496828,4.123741539
86,Manhattan,Multifamily Housing,118809,1926,1,100,73,3.3,0,27.88,6.268148865,3.327909586
35,Manhattan,Office,58364,2005,1,100,143.7,14.9,1,36.33,5.700109069,3.592643846
54,Queens,Multifamily Housing,102023,1963,1,100,89.8,3.4,0.8,108.95,6.087910445,4.690889061
49,Manhattan,Hotel,124009,2007,1,100,63.3,8.6,0.3,36.13,6.096725058,3.587123545
83,Manhattan,Multifamily Housing,217469,1925,1,100,56.2,4.7,0.2,63.48,6.316803611,4.150724896
99,Manhattan,Multifamily Housing,,1914,2,100,69.9,3.2,0,35.02,5.696086268,3.555919327
7,Manhattan,Multifamily Housing,189616,1931,1,100,98.7,7.4,0.1,70.03,3.943521672,4.248923722
46,Brooklyn,Multifamily Housing,97768,1935,1,100,84.5,4.5,0.7,25.72,5.88192866,3.247268899
57,Queens,Multifamily Housing,53620,1958,1,100,90.7,3.2,0.8,,5.470167623,
46,Manhattan,Multifamily Housing,54001,1949,1,100,71.8,7.2,0.1,51.34,5.129306824,3.938470175
80,Queens,Multifamily Housing,144768,1962,1,100,77.6,,,74.37,6.316081067,4.309052635
82,Queens,Multifamily Housing,62254,1922,1,100,50.2,7.7,0.3,53.29,4.399375273,3.975748696
51,Manhattan,Multifamily Housing,54675,1988,1,100,89.8,7.5,0.7,87.62,5.209486153,4.473009282
41,Manhattan,Multifamily Housing,76300,1983,1,100,96.4,5.9,0.8,46.47,5.724238483,3.838806943
58,Queens,Multifamily Housing,55575,2008,1,100,93.7,7.5,0.7,49.44,5.547128665,3.900759813
91,Brooklyn,Multifamily Housing,67500,1940,1,100,58.9,3.2,0.5,32.17,5.141663557,3.471034341
30,Manhattan,Multifamily Housing,58230,1900,1,100,125.4,5.4,0,82.26,6.008321664,4.409884963
33,Manhattan,Office,115000,1947,1,100,95.3,27.9,0,20.61,-0.105360516,3.025776395
87,Staten Island,K-12 School,63470,1987,1,100,59.1,4.6,0.5,26.19,4.982921456,3.265377659
62,Brooklyn,Multifamily Housing,156170,1953,2,100,85.6,5,0,,6.666956792,
60,Brooklyn,Multifamily Housing,59064,1964,1,100,82.5,4.6,0.7,747.59,5.339939041,6.616854699
9,Manhattan,Multifamily Housing,126778,1966,1,100,146,9,,72.69,6.993749472,4.286203823
95,Manhattan,Office,123885,1973,1,100,45,7.7,0,,5.130490256,
34,Queens,Multifamily Housing,59040,2007,1,100,61.6,8.9,0.3,57.2,4.581901559,4.046553898
20,Manhattan,Multifamily Housing,63384,1914,1,100,110.7,3.4,0,119.77,6.127523992,4.785573237
100,Bronx,Multifamily Housing,94430,2007,1,100,15.8,4.6,,124.64,,4.825429582
18,Queens,Non-Refrigerated Warehouse,75654,1928,1,100,32.6,9.6,,10.66,,2.366498419
78,Manhattan,Multifamily Housing,56245,1988,1,100,49.9,4.6,0,23.11,4.964940335,3.140265424
79,Queens,Non-Refrigerated Warehouse,150000,1954,1,100,34.7,2,0.2,864.32,5.083265985,6.761943071
58,Manhattan,Office,60648,1928,1,100,106.2,,,,5.556055563,
53,Queens,Multifamily Housing,92250,1960,1,100,104.3,4.6,0.9,39.72,6.110136077,3.681854839
45,Brooklyn,Multifamily Housing,184411,1920,1,100,67,6.7,0.5,46.37,6.095148658,3.836652698
61,Brooklyn,Multifamily Housing,109875,1919,1,100,68,5.9,0.5,28.04,5.658785109,3.333632062
85,Manhattan,Multifamily Housing,93004,1929,1,100,60.8,4.4,0.5,43.72,5.455748374,3.777805663
100,Manhattan,Multifamily Housing,141108,1930,1,100,13.7,3.9,,34.68,,3.546163152
100,Brooklyn,Multifamily Housing,158994,1988,1,100,6.7,1,0,,2.312535424,
100,Brooklyn,Multifamily Housing,158994,1988,2,100,5.2,0.9,0,24.82,2.557227311,3.21164978
9,Manhattan,Multifamily Housing,111567,1913,1,100,62.5,12.1,0.2,18.37,4.768988271,2.910718899
66,Manhattan,Hotel,93090,1926,1,90,91,11.7,0.5,,5.589866951,
49,Queens,Multifamily Housing,50976,1958,1,100,87.3,5.2,0.7,142.62,5.236973736,4.960183751
81,Manhattan,Office,364390,1922,1,100,55.5,15.5,,11.9,,2.4765384
9,Bronx,Multifamily Housing,119919,1969,1,100,146.9,5.3,1.4,106.34,6.704536896,4.666641508
21,Queens,Multifamily Housing,50976,1958,1,100,109.7,5.6,1,140.82,5.501258211,4.947482479
100,Queens,Multifamily Housing,104463,1949,1,100,22.6,0.1,0.2,,4.816241156,
54,Queens,Senior Care Community,170000,1970,1,100,96,9.8,0.7,48.81,6.12817837,3.88793521
1,Bronx,Multifamily Housing,50049,1922,1,100,136.9,12.6,1,,5.521060838,
8,Bronx,Multifamily Housing,51000,1926,1,100,111.9,6,0.1,20.87,5.828651457,3.038312721
24,Bronx,Multifamily Housing,55000,1925,1,100,100.4,4.5,0.9,17.6,5.506550305,2.867898902
39,Bronx,Multifamily Housing,78300,1927,1,100,88.7,3.7,0.8,,5.753207358,
38,Bronx,Multifamily Housing,66750,1925,1,100,88.9,3.9,0.8,150.17,5.586874056,5.011767986
96,Manhattan,Multifamily Housing,76212,1920,0,90,70.4,0,0.8,,5.651084686,
35,Bronx,Multifamily Housing,61725,1929,1,100,93.6,4.3,0.9,119.66,5.557214088,4.784654388
20,Bronx,Multifamily Housing,56818,1940,1,100,104.3,4.7,0.4,14.26,5.799698531,2.657458415
46,Queens,Multifamily Housing,64200,1940,1,100,75.3,5.2,0.6,73.43,5.281679725,4.296332571
61,Queens,Multifamily Housing,95915,1939,1,100,75.4,4.1,0.7,85.82,5.745244264,4.45225208
86,Brooklyn,Multifamily Housing,87314,2008,1,100,48.8,6.4,0.3,49.07,4.574710979,3.89324785
99,Queens,Multifamily Housing,99383,1938,1,100,60.3,0.5,0.6,,5.737861788,
100,Queens,Multifamily Housing,67292,1973,1,100,28.5,3.6,0.1,121.57,4.258445573,4.800490229
100,Queens,Multifamily Housing,67898,1955,1,100,9,0.4,0.1,82.97,3.314186005,4.418479097
63,Manhattan,Multifamily Housing,121642,1926,1,100,65.2,4.8,0,20.83,6.141822329,3.036394255
65,Manhattan,Hotel,244619,1927,1,70,56.3,12,0.1,45.76,5.208939555,3.823410347
